season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,label,prediction
2,1,5,20,0,6,0,1,0.6,0.5758,0.78,0.2537,309,326.7125
2,1,5,21,0,6,0,2,0.58,0.5455,0.78,0.2239,269,291.1625
2,1,5,22,0,6,0,2,0.58,0.5455,0.78,0.194,217,206.125
2,1,5,23,0,6,0,2,0.56,0.5303,0.83,0.2836,149,132.1625
2,1,5,0,0,0,0,2,0.56,0.5303,0.83,0.1343,134,120.35
2,1,5,1,0,0,0,2,0.54,0.5152,0.83,0.2239,121,87.9375
2,1,5,2,0,0,0,2,0.54,0.5152,0.83,0.2836,93,63.9375
2,1,5,3,0,0,0,2,0.54,0.5152,0.83,0.194,28,34.55
2,1,5,4,0,0,0,3,0.52,0.5,0.83,0.1642,16,7.975
2,1,5,5,0,0,0,3,0.52,0.5,0.83,0.1642,11,11.2125
2,1,5,6,0,0,0,3,0.52,0.5,0.83,0.2239,17,33.35
2,1,5,7,0,0,0,3,0.52,0.5,0.83,0.1642,36,93.075
2,1,5,8,0,0,0,2,0.5,0.4848,0.88,0.1343,114,130.65
2,1,5,9,0,0,0,2,0.52,0.5,0.83,0.1642,191,234.1625
2,1,5,10,0,0,0,2,0.54,0.5152,0.77,0.1045,333,446.2375
2,1,5,11,0,0,0,1,0.56,0.5303,0.73,0.1045,414,554.1375
2,1,5,12,0,0,0,2,0.6,0.6061,0.64,0.0896,558,598.4125
2,1,5,13,0,0,0,2,0.6,0.6061,0.64,0.0,565,600.9375
2,1,5,14,0,0,0,2,0.6,0.6061,0.64,0.1045,518,598.05
2,1,5,15,0,0,0,2,0.62,0.6061,0.61,0.1045,571,595.225
2,1,5,16,0,0,0,2,0.62,0.6061,0.61,0.0,544,542.3875
2,1,5,17,0,0,0,2,0.62,0.6061,0.65,0.1343,511,503.2625
2,1,5,18,0,0,0,2,0.62,0.6061,0.61,0.194,463,453.575
2,1,5,19,0,0,0,2,0.6,0.6061,0.64,0.1642,383,379.0
2,1,5,20,0,0,0,1,0.6,0.6061,0.64,0.194,276,296.675
2,1,5,21,0,0,0,1,0.56,0.5303,0.73,0.194,203,210.85
2,1,5,22,0,0,0,1,0.56,0.5303,0.73,0.1642,157,134.1875
2,1,5,23,0,0,0,1,0.52,0.5,0.77,0.194,102,81.75
2,1,5,0,0,1,1,2,0.52,0.5,0.77,0.1343,34,39.125
2,1,5,1,0,1,1,2,0.52,0.5,0.77,0.194,9,28.6
2,1,5,2,0,1,1,1,0.5,0.4848,0.77,0.194,6,13.7
2,1,5,3,0,1,1,1,0.5,0.4848,0.77,0.194,5,6.8375
2,1,5,4,0,1,1,2,0.46,0.4545,0.88,0.1343,2,4.725
2,1,5,5,0,1,1,1,0.46,0.4545,0.88,0.1045,23,27.85
2,1,5,6,0,1,1,1,0.46,0.4545,0.88,0.1045,142,114.8875
2,1,5,7,0,1,1,2,0.48,0.4697,0.82,0.1045,385,328.275
2,1,5,8,0,1,1,2,0.5,0.4848,0.82,0.194,639,625.85
2,1,5,9,0,1,1,2,0.5,0.4848,0.82,0.2239,350,326.725
2,1,5,10,0,1,1,2,0.52,0.5,0.77,0.194,190,160.025
2,1,5,11,0,1,1,2,0.54,0.5152,0.73,0.194,213,199.7125
2,1,5,12,0,1,1,2,0.56,0.5303,0.68,0.2239,263,248.1625
2,1,5,13,0,1,1,2,0.6,0.6212,0.53,0.3284,272,252.4875
2,1,5,14,0,1,1,2,0.62,0.6212,0.5,0.3582,239,231.55
2,1,5,15,0,1,1,2,0.62,0.6212,0.53,0.2985,262,232.1625
2,1,5,16,0,1,1,2,0.6,0.6212,0.53,0.3881,388,372.7875
2,1,5,17,0,1,1,2,0.6,0.6212,0.53,0.3284,769,703.275
2,1,5,18,0,1,1,2,0.6,0.6212,0.53,0.3582,680,685.1125
2,1,5,19,0,1,1,1,0.58,0.5455,0.56,0.3284,546,485.2625
2,1,5,20,0,1,1,1,0.54,0.5152,0.52,0.2836,323,344.3125
2,1,5,21,0,1,1,2,0.54,0.5152,0.45,0.2239,247,215.625
2,1,5,22,0,1,1,2,0.54,0.5152,0.45,0.2537,173,127.35
2,1,5,23,0,1,1,2,0.54,0.5152,0.45,0.194,113,67.9875
2,1,5,0,0,2,1,2,0.52,0.5,0.52,0.2537,38,30.1
2,1,5,1,0,2,1,2,0.52,0.5,0.59,0.2239,9,17.0875
2,1,5,2,0,2,1,2,0.52,0.5,0.63,0.2985,16,8.375
2,1,5,3,0,2,1,2,0.52,0.5,0.68,0.2836,6,3.775
2,1,5,4,0,2,1,2,0.52,0.5,0.68,0.3284,5,5.0
2,1,5,5,0,2,1,2,0.52,0.5,0.72,0.2836,20,25.45
2,1,5,6,0,2,1,1,0.5,0.4848,0.77,0.2985,165,113.6125
2,1,5,7,0,2,1,1,0.52,0.5,0.72,0.2836,463,321.2625
2,1,5,8,0,2,1,2,0.54,0.5152,0.73,0.2985,641,593.4125
2,1,5,9,0,2,1,2,0.56,0.5303,0.68,0.3582,295,337.125
2,1,5,10,0,2,1,2,0.58,0.5455,0.68,0.4179,157,174.6875
2,1,5,11,0,2,1,2,0.6,0.6061,0.64,0.3881,217,220.5375
2,1,5,12,0,2,1,2,0.62,0.6061,0.65,0.3284,263,252.9875
2,1,5,13,0,2,1,3,0.64,0.6061,0.65,0.2537,219,118.625
2,1,5,14,0,2,1,3,0.62,0.6061,0.69,0.3284,71,111.875
2,1,5,15,0,2,1,3,0.62,0.5909,0.73,0.2537,134,114.6875
2,1,5,16,0,2,1,3,0.64,0.6061,0.73,0.2239,389,296.05
2,1,5,17,0,2,1,2,0.64,0.6061,0.69,0.2836,717,784.9375
2,1,5,18,0,2,1,2,0.64,0.6061,0.69,0.2836,710,789.3625
2,1,5,19,0,2,1,2,0.64,0.6061,0.69,0.2836,458,472.3
2,1,5,20,0,2,1,2,0.64,0.6061,0.69,0.2836,302,347.2625
2,1,5,21,0,2,1,2,0.64,0.6061,0.65,0.2836,223,254.9
2,1,5,22,0,2,1,3,0.6,0.5758,0.78,0.2537,147,149.6
2,1,5,23,0,2,1,3,0.6,0.5758,0.78,0.3284,63,61.825
2,1,5,0,0,3,1,2,0.58,0.5455,0.83,0.194,35,27.8
2,1,5,1,0,3,1,2,0.6,0.5758,0.78,0.2537,14,16.3625
2,1,5,2,0,3,1,3,0.56,0.5303,0.88,0.4478,1,11.9875
2,1,5,3,0,3,1,3,0.56,0.5303,0.88,0.1642,2,4.6
2,1,5,4,0,3,1,3,0.56,0.5303,0.88,0.2239,5,4.4
2,1,5,5,0,3,1,2,0.56,0.5303,0.88,0.1343,28,30.1
2,1,5,6,0,3,1,2,0.56,0.5303,0.88,0.1045,126,121.925
2,1,5,7,0,3,1,2,0.56,0.5303,0.94,0.194,418,320.6
2,1,5,8,0,3,1,2,0.6,0.5606,0.83,0.1343,622,633.7
2,1,5,9,0,3,1,2,0.6,0.5606,0.83,0.0,325,325.9375
2,1,5,10,0,3,1,2,0.62,0.6061,0.65,0.2537,153,184.5625
2,1,5,11,0,3,1,2,0.62,0.6212,0.59,0.2985,201,217.575
2,1,5,12,0,3,1,2,0.62,0.6212,0.57,0.2239,280,257.875
2,1,5,13,0,3,1,2,0.64,0.6212,0.53,0.2537,266,249.3625
2,1,5,14,0,3,1,2,0.64,0.6212,0.53,0.2537,243,234.975
2,1,5,15,0,3,1,2,0.64,0.6212,0.53,0.1045,259,249.925
2,1,5,16,0,3,1,2,0.66,0.6212,0.5,0.194,357,378.8125
2,1,5,17,0,3,1,2,0.64,0.6212,0.53,0.1343,705,766.8875
2,1,5,18,0,3,1,3,0.52,0.5,0.77,0.5821,372,558.4125
2,1,5,19,0,3,1,3,0.5,0.4848,0.77,0.3582,98,340.5
2,1,5,20,0,3,1,3,0.5,0.4848,0.82,0.2239,51,138.9875
2,1,5,21,0,3,1,3,0.5,0.4848,0.82,0.1642,34,131.45
2,1,5,22,0,3,1,3,0.48,0.4697,0.82,0.1045,67,97.925
2,1,5,23,0,3,1,3,0.48,0.4697,0.82,0.194,55,46.8625
2,1,5,0,0,4,1,3,0.5,0.4848,0.77,0.1642,33,35.125
2,1,5,1,0,4,1,2,0.48,0.4697,0.88,0.1343,11,17.4125
2,1,5,2,0,4,1,2,0.48,0.4697,0.88,0.1045,3,11.15
2,1,5,3,0,4,1,1,0.46,0.4545,0.88,0.2239,3,4.3375
2,1,5,4,0,4,1,1,0.46,0.4545,0.77,0.194,2,7.9
2,1,5,5,0,4,1,1,0.46,0.4545,0.72,0.2985,24,27.55
2,1,5,6,0,4,1,1,0.44,0.4394,0.72,0.2239,139,113.975
2,1,5,7,0,4,1,1,0.44,0.4394,0.72,0.2985,401,333.7
2,1,5,8,0,4,1,1,0.46,0.4545,0.67,0.3582,630,626.975
2,1,5,9,0,4,1,1,0.5,0.4848,0.59,0.4627,361,332.275
2,1,5,10,0,4,1,1,0.5,0.4848,0.51,0.4179,154,167.625
2,1,5,11,0,4,1,1,0.52,0.5,0.48,0.5224,256,212.375
2,1,5,12,0,4,1,1,0.52,0.5,0.48,0.4179,272,252.9375
2,1,5,13,0,4,1,1,0.54,0.5152,0.39,0.4478,318,251.8
2,1,5,14,0,4,1,1,0.56,0.5303,0.37,0.4179,247,228.5875
2,1,5,15,0,4,1,1,0.54,0.5152,0.37,0.3881,271,243.55
2,1,5,16,0,4,1,1,0.58,0.5455,0.3,0.4627,421,365.9625
2,1,5,17,0,4,1,1,0.6,0.6212,0.31,0.3881,732,690.4125
2,1,5,18,0,4,1,1,0.56,0.5303,0.35,0.5224,770,663.325
2,1,5,19,0,4,1,1,0.54,0.5152,0.37,0.3582,553,437.6125
2,1,5,20,0,4,1,1,0.52,0.5,0.4,0.3284,374,318.6125
2,1,5,21,0,4,1,1,0.5,0.4848,0.42,0.194,230,223.075
2,1,5,22,0,4,1,1,0.5,0.4848,0.42,0.1045,232,176.725
2,1,5,23,0,4,1,1,0.48,0.4697,0.48,0.1045,135,105.6875
2,1,5,0,0,5,1,1,0.46,0.4545,0.55,0.1045,64,57.775
2,1,5,1,0,5,1,1,0.46,0.4545,0.51,0.1343,46,31.3625
2,1,5,2,0,5,1,1,0.46,0.4545,0.44,0.1642,31,16.575
2,1,5,3,0,5,1,1,0.46,0.4545,0.41,0.2836,13,5.4125
2,1,5,4,0,5,1,1,0.42,0.4242,0.5,0.194,9,4.9
2,1,5,5,0,5,1,1,0.42,0.4242,0.47,0.1642,26,24.7625
2,1,5,6,0,5,1,1,0.42,0.4242,0.5,0.2537,135,106.9625
2,1,5,7,0,5,1,1,0.42,0.4242,0.5,0.2537,351,326.225
2,1,5,8,0,5,1,1,0.46,0.4545,0.44,0.2537,620,643.475
2,1,5,9,0,5,1,1,0.48,0.4697,0.41,0.2985,322,336.3875
2,1,5,10,0,5,1,1,0.52,0.5,0.36,0.3284,210,283.45
2,1,5,11,0,5,1,1,0.56,0.5303,0.35,0.2537,291,291.5
2,1,5,12,0,5,1,1,0.56,0.5303,0.28,0.4179,348,359.0125
2,1,5,13,0,5,1,1,0.6,0.6061,0.26,0.3881,363,387.95
2,1,5,14,0,5,1,1,0.62,0.6061,0.23,0.2239,334,393.3125
2,1,5,15,0,5,1,1,0.62,0.6061,0.25,0.194,439,399.9375
2,1,5,16,0,5,1,1,0.62,0.6061,0.25,0.3284,525,506.575
2,1,5,17,0,5,1,1,0.64,0.6061,0.23,0.2537,779,778.0
2,1,5,18,0,5,1,1,0.64,0.6061,0.23,0.2836,596,775.5125
2,1,5,19,0,5,1,1,0.64,0.6061,0.23,0.2537,503,549.275
2,1,5,20,0,5,1,1,0.62,0.6061,0.25,0.1343,341,384.075
2,1,5,21,0,5,1,1,0.6,0.6061,0.28,0.1045,270,281.2125
2,1,5,22,0,5,1,1,0.56,0.5303,0.35,0.2239,234,187.5125
2,1,5,23,0,5,1,1,0.54,0.5152,0.37,0.194,180,154.8875
2,1,5,0,0,6,0,1,0.52,0.5,0.42,0.1642,136,121.95
2,1,5,1,0,6,0,1,0.5,0.4848,0.48,0.0,93,77.0625
2,1,5,2,0,6,0,1,0.46,0.4545,0.59,0.1343,56,58.6375
2,1,5,3,0,6,0,1,0.48,0.4697,0.59,0.0,34,28.0375
2,1,5,4,0,6,0,1,0.44,0.4394,0.67,0.1045,9,9.2125
2,1,5,5,0,6,0,1,0.42,0.4242,0.67,0.1343,13,7.2375
2,1,5,6,0,6,0,1,0.42,0.4242,0.67,0.0896,33,33.2875
2,1,5,7,0,6,0,1,0.42,0.4242,0.71,0.1343,67,90.375
2,1,5,8,0,6,0,1,0.52,0.5,0.48,0.0,178,190.95
2,1,5,9,0,6,0,1,0.54,0.5152,0.49,0.0,335,298.2625
2,1,5,10,0,6,0,1,0.56,0.5303,0.49,0.0896,411,477.2125
2,1,5,11,0,6,0,1,0.62,0.6212,0.41,0.0896,522,592.5125
2,1,5,12,0,6,0,1,0.64,0.6212,0.36,0.1642,559,650.85
2,1,5,13,0,6,0,1,0.64,0.6212,0.36,0.194,659,661.8125
2,1,5,14,0,6,0,1,0.66,0.6212,0.36,0.194,615,659.65
2,1,5,15,0,6,0,1,0.68,0.6212,0.24,0.194,590,628.85
2,1,5,16,0,6,0,2,0.7,0.6364,0.21,0.194,591,583.45
2,1,5,17,0,6,0,2,0.66,0.6212,0.36,0.194,576,564.15
2,1,5,18,0,6,0,2,0.66,0.6212,0.31,0.194,546,516.0
2,1,5,19,0,6,0,2,0.64,0.6212,0.36,0.1642,439,441.6625
2,1,5,20,0,6,0,1,0.62,0.6212,0.46,0.1642,287,354.875
2,1,5,21,0,6,0,2,0.6,0.6061,0.6,0.1343,230,234.4
2,1,5,22,0,6,0,1,0.56,0.5303,0.68,0.1343,274,201.1125
2,1,5,23,0,6,0,1,0.58,0.5455,0.56,0.0896,176,175.375
2,1,5,0,0,0,0,1,0.56,0.5303,0.64,0.1642,98,126.1125
2,1,5,1,0,0,0,2,0.54,0.5152,0.68,0.1343,94,98.9125
2,1,5,2,0,0,0,2,0.54,0.5152,0.68,0.1642,82,69.475
2,1,5,3,0,0,0,2,0.54,0.5152,0.64,0.1343,28,39.65
2,1,5,4,0,0,0,2,0.54,0.5152,0.68,0.194,9,11.2875
2,1,5,5,0,0,0,1,0.52,0.5,0.72,0.194,12,12.8375
2,1,5,6,0,0,0,1,0.52,0.5,0.68,0.1642,21,28.725
2,1,5,7,0,0,0,1,0.52,0.5,0.68,0.1642,60,92.2125
2,1,5,8,0,0,0,1,0.56,0.5303,0.64,0.1642,156,188.8
2,1,5,9,0,0,0,1,0.6,0.6212,0.56,0.1343,222,271.5125
2,1,5,10,0,0,0,1,0.6,0.6061,0.6,0.2537,350,435.4875
2,1,5,11,0,0,0,1,0.62,0.6212,0.57,0.2537,428,539.75
2,1,5,12,0,0,0,1,0.64,0.6212,0.57,0.2239,531,605.225
2,1,5,13,0,0,0,1,0.68,0.6364,0.54,0.2537,602,615.3125
2,1,5,14,0,0,0,1,0.7,0.6515,0.48,0.1343,552,608.7125
2,1,5,15,0,0,0,1,0.72,0.6515,0.45,0.3582,499,605.3125
2,1,5,16,0,0,0,1,0.72,0.6515,0.42,0.2537,564,584.675
2,1,5,17,0,0,0,1,0.7,0.6364,0.45,0.4179,478,574.1375
2,1,5,18,0,0,0,2,0.68,0.6364,0.44,0.3582,389,470.0125
2,1,5,19,0,0,0,2,0.66,0.6212,0.5,0.4179,339,358.4875
2,1,5,20,0,0,0,2,0.66,0.6212,0.5,0.2836,230,295.7875
2,1,5,21,0,0,0,2,0.64,0.6212,0.53,0.194,169,218.3375
2,1,5,22,0,0,0,2,0.62,0.6061,0.61,0.1642,131,139.2125
2,1,5,23,0,0,0,2,0.62,0.6212,0.57,0.2239,74,74.7
2,1,5,0,0,1,1,2,0.6,0.6212,0.56,0.2537,35,40.15
2,1,5,1,0,1,1,2,0.6,0.6061,0.6,0.2836,11,25.3375
2,1,5,2,0,1,1,1,0.6,0.6061,0.6,0.2985,2,13.2125
2,1,5,3,0,1,1,2,0.58,0.5455,0.68,0.3284,2,4.05
2,1,5,4,0,1,1,2,0.54,0.5152,0.77,0.2239,6,5.6625
2,1,5,5,0,1,1,2,0.54,0.5152,0.77,0.1642,26,26.4875
2,1,5,6,0,1,1,3,0.52,0.5,0.94,0.2985,65,52.725
2,1,5,7,0,1,1,3,0.52,0.5,0.94,0.194,75,241.9625
2,1,5,8,0,1,1,3,0.54,0.5152,0.88,0.2239,156,474.7125
2,1,5,9,0,1,1,3,0.54,0.5152,0.88,0.2836,110,244.65
2,1,5,10,0,1,1,3,0.54,0.5152,0.88,0.2537,59,139.125
2,1,5,11,0,1,1,2,0.56,0.5303,0.83,0.2239,79,194.6375
2,1,5,12,0,1,1,2,0.56,0.5303,0.88,0.2836,185,251.525
2,1,5,13,0,1,1,2,0.62,0.5909,0.73,0.2239,176,251.5625
2,1,5,14,0,1,1,2,0.62,0.5909,0.73,0.2537,171,234.6
2,1,5,15,0,1,1,2,0.62,0.5909,0.73,0.1642,196,248.7125
2,1,5,16,0,1,1,3,0.62,0.6061,0.69,0.2836,111,292.25
2,1,5,17,0,1,1,3,0.56,0.5303,0.88,0.2537,229,540.6
2,1,5,18,0,1,1,2,0.58,0.5455,0.83,0.0,300,693.4375
2,1,5,19,0,1,1,3,0.58,0.5455,0.88,0.1343,304,416.05
2,1,5,20,0,1,1,2,0.58,0.5455,0.88,0.194,189,286.25
2,1,5,21,0,1,1,2,0.58,0.5455,0.83,0.0896,152,238.55
2,1,5,22,0,1,1,2,0.58,0.5455,0.78,0.0896,129,138.5
2,1,5,23,0,1,1,2,0.58,0.5455,0.78,0.1045,75,64.975
2,1,5,0,0,2,1,2,0.56,0.5303,0.88,0.1343,32,32.1375
2,1,5,1,0,2,1,3,0.56,0.5303,0.88,0.1343,19,11.4875
2,1,5,2,0,2,1,2,0.56,0.5303,0.88,0.1343,4,7.875
2,1,5,3,0,2,1,3,0.58,0.5455,0.83,0.1343,6,3.175
2,1,5,4,0,2,1,3,0.56,0.5303,0.94,0.0,5,4.1375
2,1,5,5,0,2,1,3,0.56,0.5303,0.94,0.2239,8,21.2125
2,1,5,6,0,2,1,3,0.56,0.5303,0.94,0.2239,24,83.1125
2,1,5,7,0,2,1,3,0.56,0.5303,0.94,0.1343,92,255.325
2,1,5,8,0,2,1,2,0.58,0.5455,0.88,0.0896,409,619.175
2,1,5,9,0,2,1,2,0.58,0.5455,0.88,0.0896,355,332.05
2,1,5,10,0,2,1,1,0.62,0.5909,0.78,0.1045,171,182.5
2,1,5,11,0,2,1,1,0.64,0.5909,0.78,0.194,224,210.925
2,1,5,12,0,2,1,1,0.64,0.6061,0.73,0.194,264,257.9
2,1,5,13,0,2,1,3,0.64,0.6061,0.73,0.194,239,117.5375
2,1,5,14,0,2,1,2,0.64,0.6061,0.73,0.194,184,241.8875
2,1,5,15,0,2,1,2,0.7,0.6515,0.61,0.0896,256,248.5125
2,1,5,16,0,2,1,1,0.68,0.6364,0.65,0.1642,374,401.2625
2,1,5,17,0,2,1,1,0.68,0.6364,0.65,0.1045,678,746.4125
2,1,5,18,0,2,1,1,0.7,0.6515,0.61,0.0896,733,740.5875
2,1,5,19,0,2,1,1,0.66,0.6212,0.69,0.1642,512,513.375
2,1,5,20,0,2,1,3,0.64,0.6061,0.73,0.1343,263,260.9
2,1,5,21,0,2,1,3,0.64,0.6061,0.73,0.2836,109,234.05
2,1,5,22,0,2,1,1,0.58,0.5455,0.78,0.2239,83,182.3875
2,1,5,23,0,2,1,3,0.56,0.5303,0.88,0.1045,71,43.3875
2,1,5,0,0,3,1,2,0.58,0.5455,0.88,0.0,39,31.2
2,1,5,1,0,3,1,2,0.58,0.5455,0.88,0.1343,21,14.175
2,1,5,2,0,3,1,1,0.56,0.5303,0.94,0.194,19,8.5875
2,1,5,3,0,3,1,1,0.56,0.5303,0.88,0.1045,6,5.4875
2,1,5,4,0,3,1,1,0.54,0.5152,0.94,0.1343,4,4.775
2,1,5,5,0,3,1,1,0.54,0.5152,0.94,0.1045,38,27.7875
2,1,5,6,0,3,1,1,0.54,0.5152,0.94,0.0896,158,125.15
2,1,5,7,0,3,1,1,0.56,0.5303,0.83,0.0,440,355.125
2,1,5,8,0,3,1,1,0.58,0.5455,0.83,0.0,650,644.9
2,1,5,9,0,3,1,2,0.6,0.5758,0.78,0.1343,347,339.7375
2,1,5,10,0,3,1,1,0.66,0.6212,0.61,0.0,192,190.3875
2,1,5,11,0,3,1,1,0.7,0.6515,0.54,0.1343,267,218.7625
2,1,5,12,0,3,1,1,0.7,0.6515,0.54,0.194,330,256.2625
2,1,5,13,0,3,1,1,0.72,0.6515,0.42,0.0,350,255.3875
2,1,5,14,0,3,1,1,0.72,0.6515,0.42,0.0896,263,249.1375
2,1,5,15,0,3,1,2,0.72,0.6667,0.48,0.1045,274,246.1125
2,1,5,16,0,3,1,1,0.72,0.6515,0.45,0.1045,446,386.25
2,1,5,17,0,3,1,1,0.72,0.6667,0.51,0.194,873,749.7375
2,1,5,18,0,3,1,1,0.72,0.6667,0.51,0.2239,846,757.9
2,1,5,19,0,3,1,1,0.7,0.6515,0.54,0.2836,590,490.4
2,1,5,20,0,3,1,1,0.66,0.6212,0.65,0.2537,459,361.7125
2,1,5,21,0,3,1,1,0.64,0.6061,0.73,0.194,393,287.5375
2,1,5,22,0,3,1,1,0.64,0.6061,0.73,0.1642,286,194.975
2,1,5,23,0,3,1,1,0.62,0.5909,0.78,0.1045,133,93.4
2,1,5,0,0,4,1,1,0.6,0.5758,0.78,0.1343,79,47.7625
2,1,5,1,0,4,1,1,0.6,0.5606,0.83,0.1642,28,19.8625
2,1,5,2,0,4,1,1,0.6,0.5758,0.78,0.1642,16,10.8
2,1,5,3,0,4,1,1,0.6,0.5909,0.73,0.2537,3,5.5625
2,1,5,4,0,4,1,1,0.6,0.6061,0.64,0.3284,16,5.375
2,1,5,5,0,4,1,1,0.56,0.5303,0.68,0.3284,35,28.275
2,1,5,6,0,4,1,1,0.54,0.5152,0.73,0.3582,159,114.275
2,1,5,7,0,4,1,1,0.54,0.5152,0.73,0.3881,474,338.7375
